Player Name,Games Played,Total Score,Average SuperCoach Score
"Marcus Bontempelli",22,2420,110.0
"Clayton Oliver",21,2184,104.0
"Patrick Cripps",20,2080,104.0
"Lachie Neale",23,2346,102.0
"Christian Petracca",21,2121,101.0
"Jack Steele",19,1919,101.0
"Touk Miller",22,2200,100.0
"Nick Daicos",22,2156,98.0
"Rory Laird",23,2254,98.0
"Zak Butters",21,2058,98.0
"Errol Gulden",22,2134,97.0
"Andrew Brayshaw",20,1920,96.0
"Tom Green",21,2016,96.0
"Max Gawn",20,1900,95.0
"Callum Mills",19,1805,95.0
"Josh Dunkley",22,2090,95.0
"Jack Macrae",22,2068,94.0
"Sam Walsh",21,1974,94.0
"Zach Merrett",23,2162,94.0
"Tim Taranto",22,2046,93.0
